物业管理 保安 	 8 小时 月薪 4000 急招 保安 吃 住 好 	 丰台 - 大红门 - 大红门 街道 3001 - 5000 元
物业管理 保安 	 8 小时 月薪 4000 急招 巡逻 保安 吃 住 非常 好 	 丰台 - 大红门 - 大红门 街道 3001 - 5000 元
物业管理 保安 	 4000 以上 月薪 急招 坐岗 保安 待遇 好 	 朝阳 - 朝阳 周边 - 朝阳医院 3001 - 5000 元
物业管理 保安 	 派出所 保安 	 海淀 - 中关村 - 海淀区 中关村 3001 - 5000 元
物业管理 保安 	 急招 城管 队 保安 	 丰台 - 大红门 - 大红门 街道 3001 - 5000 元
行政 后勤 	 北京 首选 好 	 通州 - 根据 个人 意愿 选择 8000 - 10000 元 以上
物业管理 保安 	 门头沟 急招 保安 	 大兴 - 黄村 - 大兴 黄村 5001 - 8000 元
物业管理 保安 	 5500 急招 巡逻 保安 	 海淀 - 海淀 周边 - 北京西站 面议
出国 劳务 	 北京 轻松 出国 澳大利亚 建筑 工 华人 区 	 大兴 - 绿地 之窗 1 栋 905 好 20000 元 以上
行政 后勤 	 北京 好 	 顺义 - 按照 意向 就近 分配 20000 元 以上
物业管理 保安 	 巡逻 保安 ＋ 无需 站岗 ＋ 	 东城 崇文 - 就近 分配 8001 - 10000
物业管理 保安 	 坐岗养 大爷 的 	 通州 - 土桥 - 通州 土桥 5001 - 8000 元
物业管理 保安 	 公司 招聘 保安 	 大兴 - 黄村 - 京南 铁路 调度 项目管理 部 3001 - 5000 元
行政 后勤 	 好 	 通州 - 全国 可 分配 3000 - 6000
运输 物流 仓管 	 仓管 测试 ＋ 普工 技工 ＋ 弹性 	 怀柔 - 就近 分配 5001 - 8000
物业管理 保安 	 巡逻 保安 ＋ 无需 站岗 ＋ 	 昌平 - 就近 分配 8001 - 10000
出国 劳务 	 北京 工资 高 工种 全 新西兰 挪威 华人 区 	 大兴 - 绿地 之窗 1 栋 905 好 20000 元 以上
出国 劳务 	 北京 中国 出国 劳务 平台 	 朝阳 - 高新区 天府 二街 绿地 之窗 1 栋 90520000 元 以上
出国 劳务 	 北京 劳务 出国 奥地利 	 朝阳 - 朝阳 周边 - 诚招 代理 20000 元 以上
公司 注册 	 北京地区 	 大兴 - 荣华 南路 19 号 100 元
工人 技工 	 急聘 装卸 搬运工 学历 不 限 	 海淀 - 物流 中心 5001 - 8000 元
保姆 月 嫂 	 中关村 正规 家政 中关村 附近 的 好 	 海淀 - 军博 - 羊坊店 路 18 号 18611383386
物业管理 保安 	 巡逻 保安 ＋ 无需 站岗 ＋ 	 西城 宣武 - 就近 分配 8001 - 10000
运输 物流 仓管 	 北京 长期 稳定 月 8 千 	 朝阳 7000 - 10000 元 以上
行政 后勤 	 北京 体面 	 朝阳 - 根据 户籍 以及 个人 意愿 就近 安置 20000 元 以上
运输 物流 仓管 	 东城 崇文 开心 	 东城 崇文 - 就近 分配 5001 - 8000
物业管理 保安 	 巡逻 保安 ＋ 无需 站岗 ＋ 	 平谷 - 就近 分配 8001 - 10000
运输 物流 仓管 	 仓管 测试 ＋ 普工 技工 ＋ 弹性 	 通州 - 就近 分配 5001 - 8000
运输 物流 仓管 	 昌平 开心 	 昌平 - 就近 分配 5001 - 8000
